t=2026-03-13T18:26:38+0100 lvl=info msg="no configuration paths supplied"
t=2026-03-13T18:26:38+0100 lvl=info msg="using configuration at default config path" path="/Users/tychiqueesteve/Library/Application Support/ngrok/ngrok.yml"
t=2026-03-13T18:26:38+0100 lvl=info msg="open config file" path="/Users/tychiqueesteve/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-03-13T18:26:38+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-13T18:26:38+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-13T18:26:38+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-13T18:26:38+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-13T18:26:38+0100 lvl=info msg="update available" obj=updater
t=2026-03-13T18:26:38+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://houndy-altha-clearstoried.ngrok-free.dev
t=2026-03-13T18:26:39+0100 lvl=info msg="join connections" obj=join id=3d056bfba377 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:40+0100 lvl=info msg="join connections" obj=join id=225f20bd41ed l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:40+0100 lvl=info msg="join connections" obj=join id=21c3d1e32a96 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:40+0100 lvl=info msg="join connections" obj=join id=8c13b9fd85b5 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:40+0100 lvl=info msg="join connections" obj=join id=260f890db39f l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:40+0100 lvl=info msg="join connections" obj=join id=8ce650a43fe7 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:40+0100 lvl=info msg="join connections" obj=join id=d11420938285 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:40+0100 lvl=info msg="join connections" obj=join id=1095c20362c7 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:40+0100 lvl=info msg="join connections" obj=join id=ba1637b78070 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:42+0100 lvl=info msg="join connections" obj=join id=c627301e0f38 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:42+0100 lvl=info msg="join connections" obj=join id=5e4825824731 l=[::1]:3000 r=176.133.235.172:62616
t=2026-03-13T18:26:43+0100 lvl=info msg="join connections" obj=join id=6bfd5953dcab l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:43+0100 lvl=info msg="join connections" obj=join id=5fe8c846f85c l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:46+0100 lvl=info msg="join connections" obj=join id=235b7c25a2fc l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:49+0100 lvl=info msg="join connections" obj=join id=e4cdfad8f954 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:49+0100 lvl=info msg="join connections" obj=join id=9f79a8548d1d l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:49+0100 lvl=info msg="join connections" obj=join id=162914d600f1 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:54+0100 lvl=info msg="join connections" obj=join id=d53ec45b0c7b l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:54+0100 lvl=info msg="join connections" obj=join id=75803d61bb4a l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:54+0100 lvl=info msg="join connections" obj=join id=e438864d0fe9 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:26:57+0100 lvl=info msg="join connections" obj=join id=f5cade62becb l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:27:30+0100 lvl=info msg="join connections" obj=join id=687fdcffa2c2 l=[::1]:3000 r=140.82.115.0:60052
t=2026-03-13T18:27:41+0100 lvl=info msg="join connections" obj=join id=b5e0019d273f l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:27:43+0100 lvl=info msg="join connections" obj=join id=cfbb397dac2d l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:29:26+0100 lvl=info msg="join connections" obj=join id=8c48e3a25535 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:29:55+0100 lvl=info msg="join connections" obj=join id=29ed60bbdfcb l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:33:07+0100 lvl=info msg="join connections" obj=join id=be2a737fbfbd l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:33:14+0100 lvl=info msg="join connections" obj=join id=82adf713bb7c l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:33:26+0100 lvl=info msg="join connections" obj=join id=a2f746d0f9b5 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:33:38+0100 lvl=info msg="join connections" obj=join id=3e90a2675b1d l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:33:43+0100 lvl=info msg="join connections" obj=join id=5f09640f5cfe l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:34:33+0100 lvl=info msg="join connections" obj=join id=c3cf05303d01 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:36:03+0100 lvl=info msg="join connections" obj=join id=e0f60c25e9d5 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:36:03+0100 lvl=info msg="join connections" obj=join id=30071640fcc3 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:36:03+0100 lvl=info msg="join connections" obj=join id=5586db64c2aa l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:36:04+0100 lvl=info msg="join connections" obj=join id=3ae4959dabd4 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:36:04+0100 lvl=info msg="join connections" obj=join id=ececd66cc735 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:36:04+0100 lvl=info msg="join connections" obj=join id=368d3bec7493 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:36:59+0100 lvl=info msg="join connections" obj=join id=ac471fd368de l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:00+0100 lvl=info msg="join connections" obj=join id=78ecc392b7dc l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=cafe4fcec940 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=11e20b29d461 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=e16924ca4d9a l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=0888de1cf985 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=5fd0ac041c4d l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=a790a98a00aa l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=fca9ca74402d l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=dc88db997eaa l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:18+0100 lvl=info msg="join connections" obj=join id=7acf6296a410 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:20+0100 lvl=info msg="join connections" obj=join id=bb93bb66d9b7 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:21+0100 lvl=info msg="join connections" obj=join id=bccce5a14b5a l=[::1]:3000 r=176.133.235.172:63416
t=2026-03-13T18:37:22+0100 lvl=info msg="join connections" obj=join id=e185d21b87b1 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:22+0100 lvl=info msg="join connections" obj=join id=ee5faacce134 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:22+0100 lvl=info msg="join connections" obj=join id=4d12c94bc92c l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:22+0100 lvl=info msg="join connections" obj=join id=9a5798ec4fd9 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:22+0100 lvl=info msg="join connections" obj=join id=6f440b9d0dff l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:22+0100 lvl=info msg="join connections" obj=join id=b39dab6f8220 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T18:37:29+0100 lvl=info msg="join connections" obj=join id=c401269bde56 l=[::1]:3000 r=176.133.235.172:62594
t=2026-03-13T22:03:01+0100 lvl=info msg="join connections" obj=join id=4223c638d01a l=[::1]:3000 r=176.133.235.172:64346
t=2026-03-13T22:03:02+0100 lvl=info msg="join connections" obj=join id=8247c22ca50c l=[::1]:3000 r=176.133.235.172:64346
t=2026-03-13T22:14:09+0100 lvl=info msg="join connections" obj=join id=bf1285509951 l=[::1]:3000 r=176.133.235.172:64453
t=2026-03-13T23:09:55+0100 lvl=info msg="join connections" obj=join id=fe59e5350f2d l=[::1]:3000 r=176.133.235.172:64948
t=2026-03-13T23:12:56+0100 lvl=info msg="join connections" obj=join id=616c0dcf216d l=[::1]:3000 r=176.133.235.172:64948
t=2026-03-13T23:18:33+0100 lvl=info msg="join connections" obj=join id=366ac69ba24b l=[::1]:3000 r=176.133.235.172:65055
t=2026-03-13T23:23:31+0100 lvl=info msg="join connections" obj=join id=610f6fb37594 l=[::1]:3000 r=176.133.235.172:65055
t=2026-03-14T00:20:42+0100 lvl=info msg="join connections" obj=join id=9b6877306c1c l=[::1]:3000 r=176.133.235.172:65393
t=2026-03-14T00:26:39+0100 lvl=info msg="update available" obj=updater
t=2026-03-14T00:28:25+0100 lvl=info msg="join connections" obj=join id=0bd92dadd8c6 l=[::1]:3000 r=176.133.235.172:65517
t=2026-03-14T00:30:12+0100 lvl=info msg="join connections" obj=join id=f96451836ad1 l=[::1]:3000 r=176.133.235.172:65517
