t=2026-02-16T15:15:19+0100 lvl=info msg="no configuration paths supplied"
t=2026-02-16T15:15:19+0100 lvl=info msg="using configuration at default config path" path="/Users/tychiqueesteve/Library/Application Support/ngrok/ngrok.yml"
t=2026-02-16T15:15:19+0100 lvl=info msg="open config file" path="/Users/tychiqueesteve/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-02-16T15:15:19+0100 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-02-16T15:15:19+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-02-16T15:15:19+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-02-16T15:15:19+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-02-16T15:15:19+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://aperiodically-preinventive-ella.ngrok-free.dev
t=2026-02-16T15:15:20+0100 lvl=info msg="update available" obj=updater
t=2026-02-16T16:15:46+0100 lvl=info msg="join connections" obj=join id=3c1373ccfaac l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:15:47+0100 lvl=info msg="join connections" obj=join id=310081b1007c l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:15:47+0100 lvl=info msg="join connections" obj=join id=6824a1b1e336 l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:15:47+0100 lvl=info msg="join connections" obj=join id=8eef21558b9b l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:15:47+0100 lvl=info msg="join connections" obj=join id=80f6e7fc4eb3 l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:15:47+0100 lvl=info msg="join connections" obj=join id=10271c01318b l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:15:47+0100 lvl=info msg="join connections" obj=join id=1b9e998c1137 l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:15:48+0100 lvl=info msg="join connections" obj=join id=71dc186d3d2b l=[::1]:3000 r=176.133.235.172:59231
t=2026-02-16T16:17:26+0100 lvl=info msg="join connections" obj=join id=227e9bf0b20d l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:17:26+0100 lvl=info msg="join connections" obj=join id=6007edaa31d1 l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:21:17+0100 lvl=info msg="join connections" obj=join id=3db6f9b13ba0 l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:21:18+0100 lvl=info msg="join connections" obj=join id=d35b068cb9d7 l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:21:18+0100 lvl=info msg="join connections" obj=join id=50be92dcb4ba l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:21:18+0100 lvl=info msg="join connections" obj=join id=accf22c909c3 l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:21:18+0100 lvl=info msg="join connections" obj=join id=b74d8d25d2a4 l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:21:18+0100 lvl=info msg="join connections" obj=join id=4d7ceea58479 l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:21:18+0100 lvl=info msg="join connections" obj=join id=0a721cd413c3 l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:21:19+0100 lvl=info msg="join connections" obj=join id=81fc4edbd950 l=[::1]:3000 r=176.133.235.172:59333
t=2026-02-16T16:26:11+0100 lvl=info msg="join connections" obj=join id=d888945eb97a l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:26:11+0100 lvl=info msg="join connections" obj=join id=3e9b6e56ec44 l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:26:11+0100 lvl=info msg="join connections" obj=join id=f34d5497a842 l=[::1]:3000 r=176.133.235.172:59220
t=2026-02-16T16:26:11+0100 lvl=info msg="join connections" obj=join id=3dce5339d8da l=[::1]:3000 r=176.133.235.172:59220
